id,name,,,,,,,,,,,,,,,,,,,,,,,
501,Red Potion,,,,,,,,,,,,,,,,,,,,,,,
502,Orange Potion,,,,,,,,,,,,,,,,,,,,,,,
503,Yellow Potion,,,,,,,,,,,,,,,,,,,,,,,
504,White Potion,,,,,,,,,,,,,,,,,,,,,,,
505,Blue Potion,,,,,,,,,,,,,,,,,,,,,,,
506,Green Potion,,,,,,,,,,,,,,,,,,,,,,,
507,Red Herb,,,,,,,,,,,,,,,,,,,,,,,
508,Yellow Herb,,,,,,,,,,,,,,,,,,,,,,,
509,White Herb,,,,,,,,,,,,,,,,,,,,,,,
510,Blue Herb,,,,,,,,,,,,,,,,,,,,,,,
511,Green Herb,,,,,,,,,,,,,,,,,,,,,,,
512,Apple,,,,,,,,,,,,,,,,,,,,,,,
513,Banana,,,,,,,,,,,,,,,,,,,,,,,
514,Grape,,,,,,,,,,,,,,,,,,,,,,,
515,Carrot,,,,,,,,,,,,,,,,,,,,,,,
516,Potato,,,,,,,,,,,,,,,,,,,,,,,
517,Meat,,,,,,,,,,,,,,,,,,,,,,,
518,Honey,,,,,,,,,,,,,,,,,,,,,,,
519,Milk,,,,,,,,,,,,,,,,,,,,,,,
520,Hinalle Leaflet,,,,,,,,,,,,,,,,,,,,,,,
521,Aloe Leaflet,,,,,,,,,,,,,,,,,,,,,,,
522,Mastela Fruit,,,,,,,,,,,,,,,,,,,,,,,
523,Holy Water,,,,,,,,,,,,,,,,,,,,,,,
525,Panacea,,,,,,,,,,,,,,,,,,,,,,,
526,Royal Jelly,,,,,,,,,,,,,,,,,,,,,,,
528,Monster's Feed,,,,,,,,,,,,,,,,,,,,,,,
529,Candy,,,,,,,,,,,,,,,,,,,,,,,
530,Candy Cane,,,,,,,,,,,,,,,,,,,,,,,
531,Apple Juice,,,,,,,,,,,,,,,,,,,,,,,
532,Banana Juice,,,,,,,,,,,,,,,,,,,,,,,
533,Grape Juice,,,,,,,,,,,,,,,,,,,,,,,
534,Carrot Juice,,,,,,,,,,,,,,,,,,,,,,,
535,Pumpkin,,,,,,,,,,,,,,,,,,,,,,,
536,Ice Cream,,,,,,,,,,,,,,,,,,,,,,,
537,Pet Food,,,,,,,,,,,,,,,,,,,,,,,
538,Well-baked Cookie,,,,,,,,,,,,,,,,,,,,,,,
539,Piece of Cake,,,,,,,,,,,,,,,,,,,,,,,
540,Falcon Food,,,,,,,,,,,,,,,,,,,,,,,
541,PecoPeco Food,,,,,,,,,,,,,,,,,,,,,,,
544,Raw Fish,,,,,,,,,,,,,,,,,,,,,,,
545,Condensed Red Potion,,,,,,,,,,,,,,,,,,,,,,,
546,Condensed Yellow Potion,,,,,,,,,,,,,,,,,,,,,,,
547,Condensed White Potion,,,,,,,,,,,,,,,,,,,,,,,
548,Cheese,,,,,,,,,,,,,,,,,,,,,,,
549,Yam,,,,,,,,,,,,,,,,,,,,,,,
550,Rice Cake,,,,,,,,,,,,,,,,,,,,,,,
551,Sushi,,,,,,,,,,,,,,,,,,,,,,,
552,Ketupat,,,,,,,,,,,,,,,,,,,,,,,
553,Bao,,,,,,,,,,,,,,,,,,,,,,,
554,Mochi,,,,,,,,,,,,,,,,,,,,,,,
555,Traditional Rice Cake,,,,,,,,,,,,,,,,,,,,,,,
556,Rice Cake Stick,,,,,,,,,,,,,,,,,,,,,,,
557,Neatly Sliced Rice Cake,,,,,,,,,,,,,,,,,,,,,,,
558,Chocolate,,,,,,,,,,,,,,,,,,,,,,,
559,Hand-made Chocolate,,,,,,,,,,,,,,,,,,,,,,,
560,Handmade White Chocolate,,,,,,,,,,,,,,,,,,,,,,,
561,White Chocolate,,,,,,,,,,,,,,,,,,,,,,,
562,Doublecrust Swiss Fondue,,,,,,,,,,,,,,,,,,,,,,,
563,Doublecrust Swiss Fondue,,,,,,,,,,,,,,,,,,,,,,,
564,Rice Ball,,,,,,,,,,,,,,,,,,,,,,,
565,Vita500,,,,,,,,,,,,,,,,,,,,,,,
566,Tom Yum Goong,,,,,,,,,,,,,,,,,,,,,,,
567,Shrimp,,,,,,,,,,,,,,,,,,,,,,,
568,Lemon,,,,,,,,,,,,,,,,,,,,,,,
569,Novice Potion,,,,,,,,,,,,,,,,,,,,,,,
570,Lucky Candy,,,,,,,,,,,,,,,,,,,,,,,
571,Lucky Candy Cane,,,,,,,,,,,,,,,,,,,,,,,
572,Lucky Cookie,,,,,,,,,,,,,,,,,,,,,,,
573,Chocolate Drink,,,,,,,,,,,,,,,,,,,,,,,
574,Egg,,,,,,,,,,,,,,,,,,,,,,,
575,2nd Anniversary Cake,,,,,,,,,,,,,,,,,,,,,,,
576,Prickly Fruit,,,,,,,,,,,,,,,,,,,,,,,
577,Bag of Grain,,,,,,,,,,,,,,,,,,,,,,,
578,Strawberry,,,,,,,,,,,,,,,,,,,,,,,
579,Fresh Fish,,,,,,,,,,,,,,,,,,,,,,,
580,Bread,,,,,,,,,,,,,,,,,,,,,,,
581,Edible Mushroom,,,,,,,,,,,,,,,,,,,,,,,
582,Orange,,,,,,,,,,,,,,,,,,,,,,,
583,Ketupat Sayur,,,,,,,,,,,,,,,,,,,,,,,
584,Fish Cake Soup,,,,,,,,,,,,,,,,,,,,,,,
585,Brusti,,,,,,,,,,,,,,,,,,,,,,,
586,Mother's Cake,,,,,,,,,,,,,,,,,,,,,,,
587,Red Prickly Fruit,,,,,,,,,,,,,,,,,,,,,,,
588,Spaghetti,,,,,,,,,,,,,,,,,,,,,,,
589,Pizza,,,,,,,,,,,,,,,,,,,,,,,
590,Pretzel,,,,,,,,,,,,,,,,,,,,,,,
591,Caviar Pancake,,,,,,,,,,,,,,,,,,,,,,,
592,Jam Pancake,,,,,,,,,,,,,,,,,,,,,,,
593,Honey Pancake,,,,,,,,,,,,,,,,,,,,,,,
594,Sour-Cream Pancake,,,,,,,,,,,,,,,,,,,,,,,
595,Mushroom Pancake,,,,,,,,,,,,,,,,,,,,,,,
596,Cute Strawberry-Choco,,,,,,,,,,,,,,,,,,,,,,,
597,Lovely Choco-Tart,,,,,,,,,,,,,,,,,,,,,,,
598,Light Red Potion,,,,,,,,,,,,,,,,,,,,,,,
599,Light Orange Potion,,,,,,,,,,,,,,,,,,,,,,,
601,Fly Wing,NULL,,,,,,,,,,,,,,,,,,,,,,
602,Butterfly Wing,NULL,,,,,,,,,,,,,,,,,,,,,,
603,Old Blue Box,,,,,,,,,,,,,,,,,,,,,,,
604,Dead Branch,"\""--ja--\""",-1,1,"\""\"";""",NULL,NULL,,,,,,,,,,,,,,,,,
605,Anodyne,NULL,,,,,,,,,,,,,,,,,,,,,,
606,Aloevera,NULL,,,,,,,,,,,,,,,,,,,,,,
607,Yggdrasil Berry,,,,,,,,,,,,,,,,,,,,,,,
608,Yggdrasil Seed,,,,,,,,,,,,,,,,,,,,,,,
609,Amulet,,,,,,,,,,,,,,,,,,,,,,,
610,Yggdrasil Leaf,NULL,,,,,,,,,,,,,,,,,,,,,,
611,Magnifier,NULL,,,,,,,,,,,,,,,,,,,,,,
612,Mini Furnace,,,,,,,,,,,,,,,,,,,,,,,
613,Iron Hammer,,,,,,,,,,,,,,,,,,,,,,,
614,Golden Hammer,,,,,,,,,,,,,,,,,,,,,,,
615,Oridecon Hammer,,,,,,,,,,,,,,,,,,,,,,,
616,Old Card Album,,,,,,,,,,,,,,,,,,,,,,,
617,Old Purple Box,,,,,,,,,,,,,,,,,,,,,,,
618,Worn Out Scroll,,,,,,,,,,,,,,,,,,,,,,,
619,Unripe Apple,,,,,,,,,,,,,,,,,,,,,,,
620,Orange Juice,,,,,,,,,,,,,,,,,,,,,,,
621,Bitter Herb,,,,,,,,,,,,,,,,,,,,,,,
622,Rainbow Carrot,,,,,,,,,,,,,,,,,,,,,,,
623,Earthworm the Dude,,,,,,,,,,,,,,,,,,,,,,,
624,Rotten Fish,,,,,,,,,,,,,,,,,,,,,,,
625,Rusty Iron,,,,,,,,,,,,,,,,,,,,,,,
626,Monster Juice,,,,,,,,,,,,,,,,,,,,,,,
627,Sweet Milk,,,,,,,,,,,,,,,,,,,,,,,
628,Well-Dried Bone,,,,,,,,,,,,,,,,,,,,,,,
629,Singing Flower,,,,,,,,,,,,,,,,,,,,,,,
630,Dew Laden Moss,,,,,,,,,,,,,,,,,,,,,,,
631,Deadly Noxious Herb,,,,,,,,,,,,,,,,,,,,,,,
632,Fatty Chubby Earthworm,,,,,,,,,,,,,,,,,,,,,,,
633,Sweet Potato,,,,,,,,,,,,,,,,,,,,,,,
634,Tropical Banana,,,,,,,,,,,,,,,,,,,,,,,
635,Orc Trophy,,,,,,,,,,,,,,,,,,,,,,,
636,No Recipient,,,,,,,,,,,,,,,,,,,,,,,
637,Old Broom,,,,,,,,,,,,,,,,,,,,,,,
638,Silver Knife of Chastity,,,,,,,,,,,,,,,,,,,,,,,
639,Armlet of Obedience,,,,,,,,,,,,,,,,,,,,,,,
640,Shining Stone,,,,,,,,,,,,,,,,,,,,,,,
641,Contract in Shadow,,,,,,,,,,,,,,,,,,,,,,,
642,Book of the Devil,,,,,,,,,,,,,,,,,,,,,,,
643,Pet Incubator,,,,,,,,,,,,,,,,,,,,,,,
644,Gift Box,,,,,,,,,,,,,,,,,,,,,,,
645,Concentration Potion,,,,,,,,,,,,,,,,,,,,,,,
656,Awakening Potion,,,,,,,,,,,,,,,,,,,,,,,
657,Berserk Potion,,,,,,,,,,,,,,,,,,,,,,,
658,Union of Tribe,,,,,,,,,,,,,,,,,,,,,,,
659,Her Heart,,,,,,,,,,,,,,,,,,,,,,,
660,Forbidden Red Candle,,,,,,,,,,,,,,,,,,,,,,,
661,Soft Apron,,,,,,,,,,,,,,,,,,,,,,,
662,Authoritative Badge,,,,,,,,,,,,,,,,,,,,,,,
663,Korean Rice Cake,,,,,,,,,,,,,,,,,,,,,,,
664,Gift Box,,,,,,,,,,,,,,,,,,,,,,,
665,Gift Box,,,,,,,,,,,,,,,,,,,,,,,
666,Gift Box,,,,,,,,,,,,,,,,,,,,,,,
667,Gift Box,,,,,,,,,,,,,,,,,,,,,,,
668,Red Envelope,,,,,,,,,,,,,,,,,,,,,,,
669,Tempting Rice-Cake Soup,,,,,,,,,,,,,,,,,,,,,,,
670,Bag of Gold Coins,,,,,,,,,,,,,,,,,,,,,,,
671,Gold Coin,,,,,,,,,,,,,,,,,,,,,,,
672,Bag of Bronze Coins,,,,,,,,,,,,,,,,,,,,,,,
673,Bronze Coin,,,,,,,,,,,,,,,,,,,,,,,
674,Mithril Coin,,,,,,,,,,,,,,,,,,,,,,,
675,Silver Coin,,,,,,,,,,,,,,,,,,,,,,,
676,Bag of Silver Coins,,,,,,,,,,,,,,,,,,,,,,,
677,Platinum Coin,,,,,,,,,,,,,,,,,,,,,,,
678,Poison Bottle,,,,,,,,,,,,,,,,,,,,,,,
679,Pilule,,,,,,,,,,,,,,,,,,,,,,,
680,Magic Carnation,,,,,,,,,,,,,,,,,,,,,,,
681,Sweet Memory of Marriage,,,,,,,,,,,,,,,,,,,,,,,
682,Distilled Fighting Spirit,,,,,,,,,,,,,,,,,,,,,,,
683,Herb of Incantation,,,,,,,,,,,,,,,,,,,,,,,
684,Durian,,,,,,,,,,,,,,,,,,,,,,,
685,Ramadan,,,,,,,,,,,,,,,,,,,,,,,
686,Level 3 Earth Spike,NULL,,,,,,,,,,,,,,,,,,,,,,
687,Level 5 Earth Spike,NULL,,,,,,,,,,,,,,,,,,,,,,
688,Level 3 Cold Bolt,NULL,,,,,,,,,,,,,,,,,,,,,,
689,Level 5 Cold Bolt,NULL,,,,,,,,,,,,,,,,,,,,,,
690,Level 3 Fire Bolt,NULL,,,,,,,,,,,,,,,,,,,,,,
691,Level 5 Fire Bolt,NULL,,,,,,,,,,,,,,,,,,,,,,
692,Level 3 Lightening Bolt,NULL,,,,,,,,,,,,,,,,,,,,,,
693,Level 5 Lightening Bolt,NULL,,,,,,,,,,,,,,,,,,,,,,
694,Level 3 Soul Strike,NULL,,,,,,,,,,,,,,,,,,,,,,
695,Level 5 Soul Strike,NULL,,,,,,,,,,,,,,,,,,,,,,
696,Level 1 Fire Ball,NULL,,,,,,,,,,,,,,,,,,,,,,
697,Level 5 Fire Ball,NULL,,,,,,,,,,,,,,,,,,,,,,
698,Level 1 Fire Wall,NULL,,,,,,,,,,,,,,,,,,,,,,
699,Level 5 Fire Wall,NULL,,,,,,,,,,,,,,,,,,,,,,
700,Level 1 Frost Diver,NULL,,,,,,,,,,,,,,,,,,,,,,
701,Ora Ora,,,,,,,,,,,,,,,,,,,,,,,
702,Animal Gore,,,,,,,,,,,,,,,,,,,,,,,
703,Hinalle,,,,,,,,,,,,,,,,,,,,,,,
704,Aloe,,,,,,,,,,,,,,,,,,,,,,,
705,Clover,,,,,,,,,,,,,,,,,,,,,,,
706,Four Leaf Clover,,,,,,,,,,,,,,,,,,,,,,,
707,Singing Plant,,,,,,,,,,,,,,,,,,,,,,,
708,Ment,,,,,,,,,,,,,,,,,,,,,,,
709,Izidor,,,,,,,,,,,,,,,,,,,,,,,
710,Illusion Flower,,,,,,,,,,,,,,,,,,,,,,,
711,Shoot,,,,,,,,,,,,,,,,,,,,,,,
712,Flower,,,,,,,,,,,,,,,,,,,,,,,
713,Empty Bottle,,,,,,,,,,,,,,,,,,,,,,,
714,Emperium,,,,,,,,,,,,,,,,,,,,,,,
715,Yellow Gemstone,,,,,,,,,,,,,,,,,,,,,,,
716,Red Gemstone,,,,,,,,,,,,,,,,,,,,,,,
717,Blue Gemstone,,,,,,,,,,,,,,,,,,,,,,,
718,Garnet,,,,,,,,,,,,,,,,,,,,,,,
719,Amethyst,,,,,,,,,,,,,,,,,,,,,,,
720,Aquamarine,,,,,,,,,,,,,,,,,,,,,,,
721,Emerald,,,,,,,,,,,,,,,,,,,,,,,
722,Pearl,,,,,,,,,,,,,,,,,,,,,,,
723,Ruby,,,,,,,,,,,,,,,,,,,,,,,
724,Cursed Ruby,,,,,,,,,,,,,,,,,,,,,,,
725,Sardonyx,,,,,,,,,,,,,,,,,,,,,,,
726,Sapphire,,,,,,,,,,,,,,,,,,,,,,,
727,Opal,,,,,,,,,,,,,,,,,,,,,,,
728,Topaz,,,,,,,,,,,,,,,,,,,,,,,
729,Zircon,,,,,,,,,,,,,,,,,,,,,,,
730,1carat Diamond,,,,,,,,,,,,,,,,,,,,,,,
731,2carat Diamond,,,,,,,,,,,,,,,,,,,,,,,
732,3carat Diamond,,,,,,,,,,,,,,,,,,,,,,,
733,Cracked Diamond,,,,,,,,,,,,,,,,,,,,,,,
734,Red Frame,,,,,,,,,,,,,,,,,,,,,,,
735,Chung Jah,,,,,,,,,,,,,,,,,,,,,,,
736,China,,,,,,,,,,,,,,,,,,,,,,,
737,Black Ladle,,,,,,,,,,,,,,,,,,,,,,,
738,Pencil Case,,,,,,,,,,,,,,,,,,,,,,,
739,Rouge,,,,,,,,,,,,,,,,,,,,,,,
740,Puppet,,,,,,,,,,,,,,,,,,,,,,,
741,Poring Doll,,,,,,,,,,,,,,,,,,,,,,,
742,Chonchon Doll,,,,,,,,,,,,,,,,,,,,,,,
743,Spore Doll,,,,,,,,,,,,,,,,,,,,,,,
744,Bouquet,,,,,,,,,,,,,,,,,,,,,,,
745,Wedding Bouquet,,,,,,,,,,,,,,,,,,,,,,,
746,Glass Bead,,,,,,,,,,,,,,,,,,,,,,,
747,Crystal Mirror,,,,,,,,,,,,,,,,,,,,,,,
748,Witherless Rose,,,,,,,,,,,,,,,,,,,,,,,
749,Frozen Rose,,,,,,,,,,,,,,,,,,,,,,,
750,Baphomet Doll,,,,,,,,,,,,,,,,,,,,,,,
751,Osiris Doll,,,,,,,,,,,,,,,,,,,,,,,
752,Rocker Doll,,,,,,,,,,,,,,,,,,,,,,,
753,Yoyo Doll,,,,,,,,,,,,,,,,,,,,,,,
754,Raccoon Doll,,,,,,,,,,,,,,,,,,,,,,,
756,Rough Oridecon,,,,,,,,,,,,,,,,,,,,,,,
757,Rough Elunium,,,,,,,,,,,,,,,,,,,,,,,
901,Daenggie,,,,,,,,,,,,,,,,,,,,,,,
902,Tree Root,,,,,,,,,,,,,,,,,,,,,,,
903,Reptile Tongue,,,,,,,,,,,,,,,,,,,,,,,
904,Scorpion Tail,,,,,,,,,,,,,,,,,,,,,,,
905,Stem,,,,,,,,,,,,,,,,,,,,,,,
906,Pointed Scale,,,,,,,,,,,,,,,,,,,,,,,
907,Resin,,,,,,,,,,,,,,,,,,,,,,,
908,Spawn,,,,,,,,,,,,,,,,,,,,,,,
909,Jellopy,,,,,,,,,,,,,,,,,,,,,,,
910,Garlet,,,,,,,,,,,,,,,,,,,,,,,
911,Scell,,,,,,,,,,,,,,,,,,,,,,,
912,Zargon,,,,,,,,,,,,,,,,,,,,,,,
913,Tooth of Bat,,,,,,,,,,,,,,,,,,,,,,,
914,Fluff,,,,,,,,,,,,,,,,,,,,,,,
915,Chrysalis,,,,,,,,,,,,,,,,,,,,,,,
916,Feather of Birds,,,,,,,,,,,,,,,,,,,,,,,
917,Talon,,,,,,,,,,,,,,,,,,,,,,,
918,Sticky Webfoot,,,,,,,,,,,,,,,,,,,,,,,
919,Animal Skin,,,,,,,,,,,,,,,,,,,,,,,
920,Wolf Claw,,,,,,,,,,,,,,,,,,,,,,,
921,Mushroom Spore,,,,,,,,,,,,,,,,,,,,,,,
922,Orc's Fang,,,,,,,,,,,,,,,,,,,,,,,
923,Evil Horn,,,,,,,,,,,,,,,,,,,,,,,
924,Powder of Butterfly,,,,,,,,,,,,,,,,,,,,,,,
925,Bill of Birds,,,,,,,,,,,,,,,,,,,,,,,
926,Snake Scale,,,,,,,,,,,,,,,,,,,,,,,
928,Insect Feeler,,,,,,,,,,,,,,,,,,,,,,,
929,Immortal Heart,,,,,,,,,,,,,,,,,,,,,,,
930,Rotten Bandage,,,,,,,,,,,,,,,,,,,,,,,
931,Orcish Voucher,,,,,,,,,,,,,,,,,,,,,,,
932,Skel-Bone,,,,,,,,,,,,,,,,,,,,,,,
934,Memento,,,,,,,,,,,,,,,,,,,,,,,
935,Shell,,,,,,,,,,,,,,,,,,,,,,,
936,Scale Shell,,,,,,,,,,,,,,,,,,,,,,,
937,Venom Canine,,,,,,,,,,,,,,,,,,,,,,,
938,Sticky Mucus,,,,,,,,,,,,,,,,,,,,,,,
939,Bee Sting,,,,,,,,,,,,,,,,,,,,,,,
940,Grasshopper's Leg,,,,,,,,,,,,,,,,,,,,,,,
941,Nose Ring,,,,,,,,,,,,,,,,,,,,,,,
942,Yoyo Tail,,,,,,,,,,,,,,,,,,,,,,,
943,Solid Shell,,,,,,,,,,,,,,,,,,,,,,,
944,Horseshoe,,,,,,,,,,,,,,,,,,,,,,,
945,Raccoon Leaf,,,,,,,,,,,,,,,,,,,,,,,
946,Snail's Shell,,,,,,,,,,,,,,,,,,,,,,,
947,Horn,,,,,,,,,,,,,,,,,,,,,,,
948,Bear's Footskin,,,,,,,,,,,,,,,,,,,,,,,
949,Feather,,,,,,,,,,,,,,,,,,,,,,,
950,Heart of Mermaid,,,,,,,,,,,,,,,,,,,,,,,
951,Fin,,,,,,,,,,,,,,,,,,,,,,,
952,Cactus Needle,,,,,,,,,,,,,,,,,,,,,,,
953,Stone Heart,,,,,,,,,,,,,,,,,,,,,,,
